场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
林荫一_fix,1σ,0.0243,0.0014,0.0057,0.0243,0.005,0.016,0.001,0.0086,0.0092,0.1088,100.0,564.74
,2σ,0.0185,0.0136,0.0023,0.023,0.033,0.003,0.004,0.0014,0.0092,0.1188,,
,3σ,0.031,0.0203,0.0023,0.037,0.009,0.019,0.0,0.0386,0.0208,0.0988,,
,RMS,0.0505,0.0382,0.0407,0.0634,0.0258,0.0261,0.0123,0.0205,0.0202,0.11,,
,MAX,0.124,0.1024,0.0857,0.154,0.084,0.167,0.073,0.0814,0.0408,-0.0888,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
空旷二-高速_fix,1σ,0.0085,0.0001,0.0177,0.0085,0.015,0.004,0.001,0.0186,0.0108,0.0888,100.0,11825.78
,2σ,0.0122,0.0089,0.0097,0.0151,0.067,0.019,0.002,0.0014,0.0108,0.0788,,
,3σ,0.0142,0.0012,0.0013,0.0142,0.003,0.02,0.007,0.0186,0.0408,0.0888,,
,RMS,0.0204,0.0164,0.1147,0.0261,0.0476,0.0458,0.0409,0.0346,0.0538,0.0872,,
,MAX,0.1895,0.1986,0.1697,0.2041,0.355,0.423,0.334,0.2314,0.2808,0.0112,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
.全程_fix,1σ,0.0033,0.0078,0.0087,0.0085,0.036,0.022,0.024,0.0314,0.0408,0.1688,100.0,127598.84
,2σ,0.0099,0.0052,0.0227,0.0111,0.014,0.01,0.004,0.0114,0.0208,0.0088,,
,3σ,0.0,0.0073,0.0217,0.0073,0.001,0.005,0.004,0.0186,0.0508,0.0512,,
,RMS,0.0193,0.0245,0.04,0.0312,0.0309,0.0305,0.0145,0.0342,0.0494,0.34,,
,MAX,0.333,0.4849,0.2627,0.5096,0.778,1.066,0.342,0.7614,0.5408,1.8112,,
