场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
林荫一_float,1σ,0.0099,0.0008,0.0007,0.0099,0.015,0.005,0.002,0.0186,0.0192,0.1188,0.0,68.2
,2σ,0.0434,0.0203,0.0053,0.0479,0.001,0.029,0.004,0.0586,0.0108,0.0788,,
,3σ,0.0473,0.0192,0.0053,0.051,0.037,0.001,0.006,0.0686,0.0008,0.0788,,
,RMS,0.018,0.0087,0.0036,0.02,0.0252,0.0361,0.0175,0.0299,0.0221,0.1115,,
,MAX,0.0473,0.0214,0.0057,0.051,0.054,0.111,0.045,0.0514,0.0108,-0.0788,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
空旷二-高速_float,1σ,0.0214,0.0253,0.0147,0.0332,0.104,0.158,0.04,0.0286,0.0608,0.0388,0.0,2847.48
,2σ,0.0124,0.0009,0.0197,0.0124,0.009,0.004,0.011,0.0186,0.0108,0.0888,,
,3σ,0.0124,0.0009,0.0207,0.0124,0.023,0.005,0.005,0.0114,0.0192,0.0888,,
,RMS,0.0234,0.019,0.0131,0.0302,0.0875,0.0603,0.0251,0.0511,0.0466,0.0555,,
,MAX,-0.0124,0.0286,0.0207,0.0363,0.188,0.158,0.05,0.0914,0.1208,-0.0388,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
.全程_float,1σ,0.0183,0.2013,0.0093,0.2022,0.009,0.003,0.004,0.0014,0.0008,0.0888,0.0,124662.1
,2σ,0.007,0.0157,0.0237,0.0172,0.013,0.016,0.007,0.0114,0.0108,0.0988,,
,3σ,0.0444,0.0172,0.0243,0.0476,0.004,0.024,0.003,0.0386,0.0508,0.0288,,
,RMS,0.091,0.2152,0.1824,0.2336,0.0391,0.0373,0.0156,0.0368,0.0282,0.091,,
,MAX,0.3119,0.5307,0.4307,0.5552,0.349,0.3,0.143,0.3114,0.1808,0.1812,,
