场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
空旷二-高速_fix,1σ,0.0097,0.0361,0.0192,0.0374,0.076,0.076,0.082,0.206,0.2238,0.0955,100.0,11825.78
,2σ,0.0261,0.0061,0.0172,0.0268,0.05,0.018,0.012,0.196,0.1138,0.0755,,
,3σ,0.0086,0.0028,0.0082,0.009,0.037,0.015,0.011,0.216,0.1038,0.0955,,
,RMS,0.0213,0.0152,0.0944,0.0261,0.0713,0.0447,0.0396,0.203,0.126,0.0857,,
,MAX,0.2267,0.1878,0.1962,0.2272,0.798,0.464,0.324,0.556,0.1962,0.1655,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
.全程_fix,1σ,0.0135,0.0073,0.0098,0.0153,0.016,0.026,0.019,0.006,0.0538,0.0045,100.0,127598.84
,2σ,0.0074,0.0099,0.0142,0.0123,0.024,0.06,0.0,0.044,0.0638,0.1055,,
,3σ,0.0028,0.0064,0.0202,0.007,0.019,0.022,0.001,0.074,0.0038,0.0255,,
,RMS,0.0204,0.0254,0.0333,0.0326,0.0495,0.0475,0.0217,0.0987,0.0936,0.2591,,
,MAX,0.3544,0.4677,0.3182,0.4959,1.791,1.966,0.552,1.656,0.7262,0.3655,,
