场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
林荫一,1σ,0.0415,0.0068,0.0008,0.0421,0.029,0.004,0.002,0.094,0.1762,0.0455,100.0,569.69
,2σ,0.0041,0.0112,0.0062,0.0119,0.012,0.12,0.019,0.066,0.0862,0.0655,,
,3σ,0.0112,0.0611,0.0032,0.0621,0.004,0.034,0.009,0.064,0.2262,0.0855,,
,RMS,0.04,0.0474,0.0318,0.062,0.0258,0.0621,0.0217,0.0856,0.1471,0.0669,,
,MAX,0.1164,0.1052,0.1132,0.1547,0.08,0.251,0.117,0.086,0.3262,0.1055,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
八一路隧道-往,1σ,1.2402,0.4103,0.5752,1.3063,0.115,0.044,0.039,0.024,0.0562,0.1055,7.91,640.36
,2σ,5.0031,2.0266,0.9622,5.398,0.324,0.222,0.022,0.004,0.0162,0.1355,,
,3σ,6.0443,2.4701,1.0312,6.5296,0.399,0.311,0.061,0.004,0.0438,0.1455,,
,RMS,2.0234,0.8094,0.5055,2.1793,0.1587,0.1272,0.0352,0.1353,0.1117,0.0892,,
,MAX,6.1077,0.2538,1.0322,6.5974,0.528,0.324,0.172,0.126,0.2862,0.1555,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
东湖隧道-往,1σ,8.2796,37.1728,6.2583,38.0837,0.282,0.774,0.002,0.214,0.1662,0.2945,0.16,6621.42
,2σ,26.4593,15.1514,7.5223,30.4903,0.236,0.052,0.05,0.104,0.0362,0.5845,,
,3σ,30.7443,15.291,7.8933,34.337,0.167,0.137,0.024,0.094,0.1362,0.5645,,
,RMS,12.0742,21.3144,4.3973,24.4968,0.2217,0.3916,0.0466,0.1095,0.1096,0.319,,
,MAX,31.0581,37.6118,7.9193,38.3961,0.664,1.276,0.217,0.356,0.4962,0.0455,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
空旷二-高速,1σ,0.0114,0.0228,0.0282,0.0255,0.014,0.033,0.019,0.146,0.1738,0.0855,98.27,11825.78
,2σ,0.0251,0.0072,0.0162,0.0261,0.02,0.002,0.004,0.206,0.1338,0.0655,,
,3σ,0.0076,0.0028,0.0092,0.0081,0.035,0.011,0.001,0.186,0.0638,0.0855,,
,RMS,0.025,0.0204,0.1134,0.0323,0.0717,0.0451,0.044,0.2028,0.1264,0.0856,,
,MAX,0.2824,0.2111,0.1962,0.2846,0.798,0.464,0.343,0.556,0.1962,0.1655,,
场景,指标,横向误差,纵向误差,高程误差,水平误差,ve误差,vn误差,vu误差,横滚角误差,俯仰角误差,航向角误差,固定率,总里程
.全程,1σ,0.0067,0.0048,0.0262,0.0082,0.042,0.011,0.015,0.094,0.0138,0.0555,84.62,127598.84
,2σ,0.0008,0.0042,0.0042,0.0043,0.018,0.015,0.001,0.006,0.0838,0.0255,,
,3σ,0.0047,0.0064,0.0152,0.0079,0.018,0.021,0.003,0.064,0.0038,0.0255,,
,RMS,2.304,4.0311,1.1879,4.6431,0.0738,0.0885,0.0235,0.0982,0.0936,0.2465,,
,MAX,33.2176,37.6118,8.6322,38.3961,1.791,1.966,0.552,1.656,0.7262,0.3755,,
